,Date,Open,High,Low,Close,Adj.Close,Volume,mean_5_before,percent_before,mean_5_after,percent_after
1,4/2/2020,0.001868,0.00194,0.00185,0.001882,0.001882,165879605,NA,NA,2.45E-05,5.207226355
2,4/3/2020,0.001883,0.001916,0.001834,0.001853,0.001853,161121845,NA,NA,3.60E-05,7.771181867
3,4/4/2020,0.001853,0.00191,0.001841,0.00188,0.00188,160849686,NA,NA,3.30E-05,7.021276596
4,4/5/2020,0.00188,0.001909,0.001847,0.001865,0.001865,152557918,NA,NA,3.90E-05,8.36461126
5,4/6/2020,0.001866,0.001983,0.001852,0.00198,0.00198,173173223,2.45E-05,5.207226355,-3.00E-06,-0.606060606
6,4/7/2020,0.001972,0.00203,0.001934,0.001997,0.001997,129399793,3.60E-05,7.771181867,-1.75E-06,-0.350525789
7,4/8/2020,0.001986,0.002044,0.00196,0.002012,0.002012,116283369,3.30E-05,7.021276596,-5.50E-06,-1.093439364
8,4/9/2020,0.002013,0.002033,0.001985,0.002021,0.002021,109954538,3.90E-05,8.36461126,-1.55E-05,-3.067788224
9,4/10/2020,0.002021,0.002023,0.001891,0.001968,0.001968,122108790,-3.00E-06,-0.606060606,-1.00E-06,-0.203252033
10,4/11/2020,0.001968,0.002004,0.001941,0.00199,0.00199,161367396,-1.75E-06,-0.350525789,-1.25E-05,-2.512562814
11,4/12/2020,0.001989,0.002009,0.001951,0.00199,0.00199,169892709,-5.50E-06,-1.093439364,9.50E-06,1.909547739
12,4/13/2020,0.00199,0.00199,0.001894,0.001959,0.001959,167357650,-1.55E-05,-3.067788224,1.73E-05,3.522205207
13,4/14/2020,0.001958,0.00198,0.001935,0.001964,0.001964,188937615,-1.00E-06,-0.203252033,2.43E-05,4.938900204
14,4/15/2020,0.001963,0.001975,0.001906,0.00194,0.00194,169903672,-1.25E-05,-2.512562814,2.95E-05,6.082474227
15,4/16/2020,0.001941,0.002029,0.001886,0.002028,0.002028,179859738,9.50E-06,1.909547739,-1.15E-05,-2.268244576
16,4/17/2020,null,null,null,null,null,null,1.73E-05,3.522205207,-1.42E-05,-2.810650888
17,4/18/2020,0.002013,0.002062,0.002007,0.002061,0.002061,168186509,2.43E-05,4.938900204,-1.25E-05,-2.426006793
18,4/19/2020,0.00206,0.002073,0.002028,0.002058,0.002058,172576560,2.95E-05,6.082474227,-2.75E-06,-0.534499514
19,4/20/2020,0.002058,0.002066,0.001962,0.001982,0.001982,169715146,-1.15E-05,-2.268244576,3.03E-05,6.104944501
20,4/21/2020,0.001982,0.002032,0.001952,0.001971,0.001971,163652750,-1.42E-05,-2.810650888,4.27E-05,8.675799087
21,4/22/2020,0.001971,0.002033,0.001964,0.002011,0.002011,163753943,-1.25E-05,-2.426006793,9.95E-05,19.79114868
22,4/23/2020,0.002011,0.002123,0.002005,0.002047,0.002047,179000350,-2.75E-06,-0.534499514,7.70E-05,15.04640938
23,4/24/2020,0.002047,0.002121,0.002042,0.002103,0.002103,209562151,3.03E-05,6.104944501,5.90E-05,11.22206372
24,4/25/2020,0.002102,0.002146,0.002087,0.002142,0.002142,229810398,4.27E-05,8.675799087,9.38E-05,17.5070028
25,4/26/2020,0.002141,0.002444,0.002136,0.002409,0.002409,287859775,9.95E-05,19.79114868,8.50E-06,1.411374014
26,4/27/2020,0.00241,0.002414,0.002308,0.002355,0.002355,276033020,7.70E-05,15.04640938,3.48E-05,5.902335456
27,4/28/2020,0.002354,0.002372,0.002322,0.002339,0.002339,254905520,5.90E-05,11.22206372,5.25E-05,8.97819581
28,4/29/2020,0.002339,0.002542,0.002331,0.002517,0.002517,295698249,9.38E-05,17.5070028,-1.75E-06,-0.27810886
29,4/30/2020,0.002517,0.002689,0.002392,0.002443,0.002443,298563815,8.50E-06,1.411374014,9.50E-06,1.555464593
