Date,Open,High,Low,Close,Adj.Close,Volume,mean_5_before,percent_before,mean_5_after,percent_after
4/2/2020,96.206001,98.851997,89.279999,90.893997,90.893997,99292000,NA,NA,4.71850025,20.76484875
4/3/2020,101.900002,103.098,93.678001,96.001999,96.001999,112810500,NA,NA,4.64949975,19.37251223
4/6/2020,102.239998,104.199997,99.592003,103.248001,103.248001,74509000,NA,NA,6.73550025,26.09445291
4/7/2020,109,113,106.468002,109.089996,109.089996,89599000,NA,NA,8.22200025,30.14758659
4/8/2020,110.839996,111.442001,106.666,109.767998,109.767998,63280000,4.71850025,20.76484875,9.04950125,32.976829
4/9/2020,112.417999,115.036003,111.421997,114.599998,114.599998,68250000,4.64949975,19.37251223,8.61050225,30.0541096
4/13/2020,118.031998,130.399994,116.106003,130.190002,130.190002,112377000,6.73550025,26.09445291,5.1469995,15.81380881
4/14/2020,139.794006,148.376007,138.485992,141.977997,141.977997,152882500,8.22200025,30.14758659,1.8235015,5.137419991
4/15/2020,148.399994,150.626007,142,145.966003,145.966003,117885000,9.04950125,32.976829,-2.15550225,-5.906861065
4/16/2020,143.388,151.889999,141.343994,149.042007,149.042007,103289500,8.61050225,30.0541096,-0.6550025,-1.757900375
4/17/2020,154.455994,154.990005,149.531998,150.778,150.778,65641000,5.1469995,15.81380881,-2.41299825,-6.401459762
4/20/2020,146.539993,153.113998,142.442001,149.272003,149.272003,73733000,1.8235015,5.137419991,-1.060501,-2.841794787
4/21/2020,146.024002,150.666,134.757996,137.343994,137.343994,101045500,-2.15550225,-5.906861065,5.6015015,16.31378654
4/22/2020,140.796005,146.800003,137.742004,146.421997,146.421997,70827500,-0.6550025,-1.757900375,1.850502,5.055256827
4/23/2020,145.520004,146.800003,140.626007,141.126007,141.126007,66183500,-2.41299825,-6.401459762,4.7439995,13.44613824
4/24/2020,142.162003,146.145996,139.636002,145.029999,145.029999,66060000,-1.060501,-2.841794787,2.836502,7.823214561
4/27/2020,147.522003,159.897995,147,159.75,159.75,103407000,5.6015015,16.31378654,-4.871498,-12.19780407
4/28/2020,159.128006,161,151.337997,153.824005,153.824005,76110000,1.850502,5.055256827,-0.3964995,-1.031047137
4/29/2020,158.033997,160.639999,156.632004,160.102005,160.102005,81080000,4.7439995,13.44613824,-1.61500175,-4.03493198
4/30/2020,171.037994,173.964005,152.699997,156.376007,156.376007,142359500,2.836502,7.823214561,0.03499975,0.089527161
